date,away,home,actual_winner,v3_picked,v3_pick_prob,v3_home_prob,v3_away_prob,v3_correct,v3_picked_was_dog,v4_picked,v4_pick_prob,v4_home_prob,v4_away_prob,v4_correct,v4_picked_was_dog,disagreement
2025-04-05,LAD,PHI,LAD,PHI,0.5381,0.5381,0.5095,0,0,LAD,0.5341,0.5135,0.5341,1,1,1
2025-04-05,NYY,PIT,NYY,NYY,0.533,0.5146,0.533,1,0,NYY,0.5405,0.5071,0.5405,1,0,0
2025-04-05,BAL,KCR,BAL,KCR,0.5482,0.5482,0.4993,0,0,KCR,0.5777,0.5777,0.4693,0,0,0
2025-04-05,TBR,TEX,TEX,TEX,0.5384,0.5384,0.5092,1,0,TEX,0.5385,0.5385,0.5091,1,0,0
2025-04-05,TOR,NYM,NYM,TOR,0.5282,0.5194,0.5282,0,0,NYM,0.5249,0.5249,0.5227,1,1,1
2025-04-05,CIN,MIL,CIN,CIN,0.5265,0.5211,0.5265,1,0,CIN,0.5553,0.4921,0.5553,1,0,0
2025-04-05,MIA,ATL,MIA,MIA,0.526,0.5216,0.526,1,0,ATL,0.5316,0.5316,0.516,0,1,1
2025-04-05,OAK,COL,OAK,OAK,0.5359,0.5117,0.5359,1,0,OAK,0.5365,0.5111,0.5365,1,0,0
2025-04-05,SEA,SFG,SFG,SFG,0.5276,0.5276,0.52,1,0,SEA,0.5244,0.5232,0.5244,0,1,1
2025-04-05,CLE,LAA,LAA,CLE,0.547,0.5005,0.547,0,0,CLE,0.5762,0.4709,0.5762,0,0,0
2025-04-06,ARI,WAS,WAS,WAS,0.5282,0.5282,0.5194,1,0,WAS,0.5428,0.5428,0.5047,1,0,0
2025-04-06,STL,BOS,BOS,BOS,0.5293,0.5293,0.5183,1,0,BOS,0.5422,0.5422,0.5054,1,0,0
2025-04-06,STL,BOS,BOS,BOS,0.5293,0.5293,0.5183,1,0,BOS,0.5422,0.5422,0.5054,1,0,0
2025-04-06,LAD,PHI,PHI,PHI,0.5376,0.5376,0.51,1,0,LAD,0.5346,0.513,0.5346,0,1,1
2025-04-06,NYY,PIT,PIT,NYY,0.536,0.5115,0.536,0,0,NYY,0.5436,0.504,0.5436,0,0,0
2025-04-06,TOR,NYM,NYM,TOR,0.5279,0.5197,0.5279,0,0,NYM,0.5251,0.5251,0.5225,1,1,1
2025-04-06,CHW,DET,DET,DET,0.5337,0.5337,0.5139,1,0,CHW,0.5333,0.5143,0.5333,0,1,1
2025-04-06,BAL,KCR,KCR,KCR,0.5475,0.5475,0.5,1,0,KCR,0.577,0.577,0.47,1,0,0
2025-04-06,HOU,MIN,HOU,MIN,0.5306,0.5306,0.517,0,0,MIN,0.5323,0.5323,0.5153,0,0,0
2025-04-06,CIN,MIL,MIL,CIN,0.5285,0.5191,0.5285,0,0,CIN,0.5573,0.4902,0.5573,0,0,0
2025-04-06,SDP,CHC,SDP,SDP,0.5268,0.5208,0.5268,1,0,SDP,0.5439,0.5036,0.5439,1,0,0
2025-04-06,TBR,TEX,TEX,TEX,0.5395,0.5395,0.508,1,0,TEX,0.5396,0.5396,0.5079,1,0,0
2025-04-06,OAK,COL,COL,OAK,0.5389,0.5087,0.5389,0,0,OAK,0.5395,0.5081,0.5395,0,0,0
2025-04-06,SEA,SFG,SFG,SFG,0.5269,0.5269,0.5207,1,0,SEA,0.5251,0.5225,0.5251,0,1,1
2025-04-06,CLE,LAA,LAA,CLE,0.548,0.4996,0.548,0,0,CLE,0.5771,0.4699,0.5771,0,0,0
2025-04-07,NYY,DET,DET,NYY,0.5424,0.5051,0.5424,0,0,NYY,0.572,0.4751,0.572,0,0,0
2025-04-07,STL,PIT,PIT,PIT,0.5258,0.5258,0.5218,1,0,PIT,0.551,0.551,0.4965,1,0,0
2025-04-07,LAD,WAS,WAS,LAD,0.5318,0.5158,0.5318,0,0,LAD,0.5583,0.4891,0.5583,0,0,0
2025-04-07,TOR,BOS,TOR,BOS,0.5279,0.5279,0.5197,0,0,BOS,0.537,0.537,0.5106,0,0,0
2025-04-07,MIA,NYM,NYM,MIA,0.525,0.5226,0.525,0,0,MIA,0.5364,0.5112,0.5364,0,0,0
2025-04-07,TEX,CHC,CHC,CHC,0.531,0.531,0.5166,1,0,CHC,0.5505,0.5505,0.497,1,0,0
2025-04-07,MIN,KCR,KCR,KCR,0.5459,0.5459,0.5016,1,0,KCR,0.5709,0.5709,0.4763,1,0,0
2025-04-07,BAL,ARI,BAL,ARI,0.5445,0.5445,0.5031,0,0,ARI,0.5401,0.5401,0.5074,0,0,0
2025-04-07,HOU,SEA,SEA,SEA,0.5446,0.5446,0.5029,1,0,SEA,0.5584,0.5584,0.489,1,0,0
2025-04-07,CIN,SFG,CIN,SFG,0.5394,0.5394,0.5082,0,0,SFG,0.535,0.535,0.5126,0,0,0
2025-04-07,SDP,OAK,SDP,SDP,0.5255,0.5222,0.5255,1,0,SDP,0.5485,0.499,0.5485,1,0,0
2025-04-08,NYY,DET,DET,NYY,0.5425,0.505,0.5425,0,0,NYY,0.5721,0.475,0.5721,0,0,0
